UID,站名,可借
KHH501201001,YouBike2.0_捷運美麗島站(10號出口),19
KHH501201002,YouBike2.0_捷運美麗島站(2號出口),36
KHH501201003,YouBike2.0_捷運美麗島站(5號出口),21
KHH501201004,YouBike2.0_七賢洛陽街口,8
KHH501201005,YouBike2.0_中山七賢路口西南側,12
KHH501201006,YouBike2.0_中山八德路口西南側,26
KHH501201007,YouBike2.0_新興高中,13
KHH501201008,YouBike2.0_新興公園西南側,12
KHH501201009,YouBike2.0_中正和平路口西北側,10
KHH501201010,YouBike2.0_六合錦田路口,9
KHH501201011,YouBike2.0_捷運信義國小站(5號出口),22
KHH501201012,YouBike2.0_高雄市財稅行政大樓,8
KHH501201013,YouBike2.0_復興民權街口,16
KHH501201014,YouBike2.0_忠孝公園,12
KHH501201015,YouBike2.0_捷運中央公園站(2號出口),23
KHH501201016,YouBike2.0_捷運中央公園站(3號出口),24
KHH501201017,YouBike2.0_捷運美麗島站(9號出口),22
KHH501201018,YouBike2.0_捷運信義國小站(1號出口),20
KHH501201019,YouBike2.0_六合公園(七賢路),19
KHH501201020,YouBike2.0_中山民生圓環,11
KHH501201021,YouBike2.0_捷運美麗島站(7號出口),11
KHH501201022,YouBike2.0_捷運美麗島站(6號出口),14
KHH501201023,YouBike2.0_民族八德路口,27
KHH501201024,YouBike2.0_高雄高商(復興路),21
KHH501201025,YouBike2.0_民權民生路口,22
KHH501201026,YouBike2.0_大同國小(大同路),0
KHH501201027,YouBike2.0_民族河南路口,16
KHH501201028,YouBike2.0_七賢民族二路口,18
KHH501201029,YouBike2.0_六合公園(六合一路),4
KHH501201030,YouBike2.0_中正忠孝一路口,8
KHH501201031,YouBike2.0_中正仁愛一街口,13
KHH501202001,YouBike2.0_中正民族路口(東南角),13
KHH501202002,YouBike2.0_捷運文化中心站(2號出口),22
KHH501202003,YouBike2.0_苓雅國中,36
KHH501202004,YouBike2.0_高雄師範大學(學生宿舍),38
KHH501202005,YouBike2.0_高雄師範大學(活動中心),18
KHH501202006,YouBike2.0_自來水公園,13
KHH501202007,YouBike2.0_中正高中,34
KHH501202009,YouBike2.0_泰順河南路口,9
KHH501202010,YouBike2.0_捷運衛武營站(4號出口),22
KHH501202011,YouBike2.0_正道公園,7
KHH501202012,YouBike2.0_苓雅中正國小,10
KHH501202013,YouBike2.0_復華高中,17
KHH501202014,YouBike2.0_凱旋同慶路口(西南角),18
KHH501202015,YouBike2.0_高雄市衛生局,10
KHH501202016,YouBike2.0_民權永富街口,9
KHH501202017,YouBike2.0_福居兒童遊戲場,18
KHH501202018,YouBike2.0_金馬公有停車場,13
KHH501202019,YouBike2.0_捷運五塊厝站(2號出口),15
KHH501202020,YouBike2.0_武廟市場停車場,11
KHH501202021,YouBike2.0_三信家商,21
KHH501202022,YouBike2.0_行仁行禮街口,0
KHH501202023,YouBike2.0_中華興中路口(東南角),12
KHH501202024,YouBike2.0_四維行政大樓,15
KHH501202025,YouBike2.0_環球影城(大順三路),17
KHH501202026,YouBike2.0_福德公有停車場,30
KHH501202027,YouBike2.0_福康國小,8
KHH501202028,YouBike2.0_正心公園,7
KHH501202029,YouBike2.0_捷運五塊厝站(4號出口),13
KHH501202030,YouBike2.0_捷運苓雅運動園區站(1號出口),15
KHH501202031,YouBike2.0_捷運衛武營(5號出口),0
KHH501202032,YouBike2.0_正義車站,15
KHH501202033,YouBike2.0_科工館車站,54
KHH501202034,YouBike2.0_捷運三多商圈站(2號出口),3
KHH501202035,YouBike2.0_捷運三多商圈站(7號出口),8
KHH501202036,YouBike2.0_捷運三多商圈站(5號出口),0
KHH501202037,YouBike2.0_捷運文化中心站(3號出口),7
KHH501202038,YouBike2.0_中正正言路口,17
KHH501202039,YouBike2.0_捷運苓雅運動園區站(2號出口),24
KHH501202040,YouBike2.0_四維行政中心(四維三路),26
KHH501202041,YouBike2.0_高雄市文化中心(和平一路),19
KHH501202042,YouBike2.0_道明中學,48
KHH501202043,YouBike2.0_四維公園,21
KHH501202044,YouBike2.0_輕軌旅運中心站,0
KHH501202045,YouBike2.0_高雄市文化中心(廣州一街),18
KHH501202046,YouBike2.0_正義市場,16
KHH501202047,YouBike2.0_生日公園,19
KHH501202048,YouBike2.0_國際商工,16
KHH501202049,YouBike2.0_凱旋醫院,19
KHH501202050,YouBike2.0_輕軌光榮碼頭站,7
KHH501202051,YouBike2.0_捷運衛武營站(3號出口),26
KHH501202052,YouBike2.0_英明公園,25
KHH501202053,YouBike2.0_長青綜合服務中心,14
KHH501202054,YouBike2.0_財政部高雄國稅局,7
KHH501202055,YouBike2.0_成功國小(華新街),6
KHH501202056,YouBike2.0_福德河北路口(東南側),11
KHH501202057,YouBike2.0_高雄師大附中(凱旋二路),34
KHH501202058,YouBike2.0_四維國小(民權一路),9
KHH501202059,YouBike2.0_五塊厝公園,9
KHH501202060,YouBike2.0_同慶停車場,20
KHH501202061,YouBike2.0_三多廣州二街口,11
KHH501202062,YouBike2.0_北凱旋公園,10
KHH501202063,YouBike2.0_和平五福一路口,19
KHH501202064,YouBike2.0_林靖公園,10
KHH501202065,YouBike2.0_中華苓雅二路口,8
KHH501202066,YouBike2.0_武廟大順三路口,4
