站名,位置描述,緯度,經度
YouBike2.0_楠梓國小,楠梓路262號(前人行道),22.73277,120.32813
YouBike2.0_楠梓區公所,楠梓新路264號旁,22.7287,120.32639
YouBike2.0_楠梓和平公園,瑞屏路30巷1-7號(對側人行道),22.72233,120.31245
YouBike2.0_捷運楠梓科技園區站(2號出口),宏毅二路北八巷5號(前人行道),22.71834,120.30671
YouBike2.0_楠梓高中,清豐路19號(前人行道),22.74456,120.3313
YouBike2.0_捷運楠梓科技園區站(1號出口),捷運楠梓加工出口區站1號出口(西側),22.71857,120.30616
YouBike2.0_楠梓車站,建楠路229 號(機車停車場旁),22.72691,120.32452
YouBike2.0_楠梓區九號公園,德民路/三山街口(東南側),22.71652,120.28292
YouBike2.0_楠梓游泳池,旗楠路160號(前人行道,22.73366,120.33155
YouBike2.0_楠梓路1巷楠梓路口,楠梓路3號(西南側),22.72758,120.32961
YouBike2.0_楠梓特殊學校,德民路211號(前人行道),22.72803,120.31277
YouBike2.0_楠梓文中足球場,高雄大學路/大學十街(東南側),22.7254,120.28589
YouBike2.0_楠梓國中,楠梓路/土庫一路(東南側),22.73592,120.32599
YouBike2.0_楠梓高中(土庫六路側),土庫六路/清豐三路(西北側),22.742446,120.332366
YouBike2.0_惠勇三角公園(南側),楠梓區惠誠街/惠勇街口,22.733125,120.325266
