紀錄時間(台北),站名,可借總數(車),一般車,電輔車,可停空位(柱),站點UID
2026-05-13 19:57:41,YouBike2.0_楠梓高中,0,6,2,53,KHH501210027
2026-05-13 19:57:41,YouBike2.0_楠梓高中(土庫六路側),0,2,0,15,KHH501210124
2026-05-13 20:29:40,YouBike2.0_楠梓高中,0,5,1,55,KHH501210027
2026-05-13 20:29:40,YouBike2.0_市立中山高級中學(藍田路側),0,2,1,48,KHH501210040
2026-05-13 20:29:40,YouBike2.0_中山高級中學(藍昌路側),0,3,2,23,KHH501210112
2026-05-13 20:29:40,YouBike2.0_楠梓高中(土庫六路側),0,1,0,16,KHH501210124
2026-05-14 13:31:06,YouBike2.0_楠梓高中,0,33,12,16,KHH501210027
2026-05-14 13:31:06,YouBike2.0_市立中山高級中學(藍田路側),0,34,11,5,KHH501210040
2026-05-14 13:31:06,YouBike2.0_中山高級中學(藍昌路側),0,13,14,1,KHH501210112
2026-05-14 13:31:06,YouBike2.0_楠梓高中(土庫六路側),0,3,0,14,KHH501210124
2026-05-14 21:18:52,YouBike2.0_楠梓高中,0,8,1,52,KHH501210027
2026-05-14 21:18:52,YouBike2.0_市立中山高級中學(藍田路側),0,2,0,49,KHH501210040
2026-05-14 21:18:52,YouBike2.0_中山高級中學(藍昌路側),0,0,0,28,KHH501210112
2026-05-14 21:18:52,YouBike2.0_楠梓高中(土庫六路側),0,8,0,9,KHH501210124
